domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert system,voltag gain,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert system,system power,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert system,step convert,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,voltag gain,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,system power,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,convert system,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,convert voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,convert dcdc,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,dcdc convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),step convert,convert dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),power system power,system power system,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),power system power,system power,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),power system power,power system,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),power system,system power system,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),power system,system power,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),power system,power system power,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power system,system power,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power system,power system,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power system,power system power,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power,system power system,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power,power system,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power,power system power,1,0.0,2011.0,,1521b7b3-4eae-4a7e-b93d-b6928de696a7
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power,voltag gain,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power,convert system,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),system power,step convert,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag gain,system power,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag gain,convert system,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag gain,step convert,1,0.0,2017.0,,25bae987-c319-4e0c-945e-f4b58507d518
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert voltag,dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert voltag,convert voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert voltag,convert dcdc,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert voltag,step convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert voltag,voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert voltag,convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert voltag,convert dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,convert voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,convert dcdc,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,step convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,dcdc convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,convert dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,fuel cell power,1,0.0,2018.0,,cb82347f-aaca-4f05-a3c3-95a69d9706bb
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,gain dcdc convert,1,0.0,2018.0,,cb82347f-aaca-4f05-a3c3-95a69d9706bb
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,gain dcdc,1,0.0,2018.0,,cb82347f-aaca-4f05-a3c3-95a69d9706bb
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),dcdc convert,cell power plant,1,0.0,2018.0,,cb82347f-aaca-4f05-a3c3-95a69d9706bb
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag,dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag,convert voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag,convert dcdc,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag,step convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag,dcdc convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag,voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag,convert dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag voltag,dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag voltag,convert dcdc,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag voltag,step convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag voltag,dcdc convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag voltag,voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag voltag,convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),convert voltag voltag,convert dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag voltag,dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag voltag,convert voltag voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag voltag,convert dcdc,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag voltag,step convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag voltag,dcdc convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag voltag,convert voltag,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
Cryptography and Security(83.76%) | Symbolic Computation(80.33%) | Operating Systems(77.47%),voltag voltag,convert dcdc convert,1,0.0,2018.0,,f00cdcb7-0f5f-4efb-bffd-91361b0c174e
