domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),thz regim,year fiber pcf,1,0.0,2020.0,,8d60640a-589c-4090-ab75-92108230a8de
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),thz regim,fiber pcf,1,0.0,2020.0,,8d60640a-589c-4090-ab75-92108230a8de
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),thz regim,year fiber,1,0.0,2020.0,,8d60640a-589c-4090-ab75-92108230a8de
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),thz regim,fiber pcf thz,1,0.0,2020.0,,8d60640a-589c-4090-ab75-92108230a8de
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),thz regim,pcf thz regim,1,0.0,2020.0,,8d60640a-589c-4090-ab75-92108230a8de
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),circular crystal fiber,terahertz frequenc,1,0.0,2018.0,,2f8b38dd-3828-4f05-a185-71666c7fc963
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),circular crystal fiber,terahertz frequenc rang,1,0.0,2018.0,,2f8b38dd-3828-4f05-a185-71666c7fc963
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),circular crystal fiber,frequenc rang,1,0.0,2018.0,,2f8b38dd-3828-4f05-a185-71666c7fc963
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),circular crystal fiber,crystal fiber applic,1,0.0,2018.0,,2f8b38dd-3828-4f05-a185-71666c7fc963
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),circular crystal fiber,fiber applic terahertz,1,0.0,2018.0,,2f8b38dd-3828-4f05-a185-71666c7fc963
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),circular crystal fiber,fiber applic,1,0.0,2018.0,,2f8b38dd-3828-4f05-a185-71666c7fc963
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),circular crystal fiber,crystal fiber,1,0.0,2018.0,,2f8b38dd-3828-4f05-a185-71666c7fc963
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),strategi crystal fiber,fiber pcf zero,1,0.0,2018.0,,5fa5e9ed-e024-4bb5-9e1c-7a92c8c8e544
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),strategi crystal fiber,crystal fiber pcf,1,0.0,2018.0,,5fa5e9ed-e024-4bb5-9e1c-7a92c8c8e544
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),strategi crystal fiber,air hole core,1,0.0,2018.0,,5fa5e9ed-e024-4bb5-9e1c-7a92c8c8e544
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),strategi crystal fiber,fiber pcf,1,0.0,2018.0,,5fa5e9ed-e024-4bb5-9e1c-7a92c8c8e544
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),strategi crystal fiber,crystal fiber,1,0.0,2018.0,,5fa5e9ed-e024-4bb5-9e1c-7a92c8c8e544
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),crystal fiber nearzero,materi loss eml,1,0.0,2017.0,,d2b8765a-ae13-400c-b819-d1e5fe3fa2eb
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),crystal fiber nearzero,confin loss,1,0.0,2017.0,,d2b8765a-ae13-400c-b819-d1e5fe3fa2eb
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),crystal fiber nearzero,crystal fiber,1,0.0,2017.0,,d2b8765a-ae13-400c-b819-d1e5fe3fa2eb
Software Engineering(79.4%) | Information Theory(79.2%) | Logic in Computer Science(78.53%),confin loss,crystal fiber nearzero,1,0.0,2017.0,,d2b8765a-ae13-400c-b819-d1e5fe3fa2eb
