domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,data privaci secur,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,sector safeti,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,sector safeti secur,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,transport energi,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,secur healthcar,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,healthcar transport energi,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,mainten sector safeti,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,safeti secur healthcar,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,mainten sector,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,secur healthcar transport,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,citi mainten sector,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,citi mainten,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",safeti secur,healthcar transport,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data cloud,data cloud interest,1,0.0,2019.0,,abbe38d4-9d16-4ec7-b230-e943a8776fd9
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data cloud,cyber attack,1,0.0,2019.0,,abbe38d4-9d16-4ec7-b230-e943a8776fd9
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data decentr,healthcar data,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data decentr,data interest,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data decentr,healthcar data interest,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data decentr,cyber attack,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data,data interest,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data,healthcar data interest,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data,cyber attack,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data,healthcar data decentr,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data interest,healthcar data,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data interest,data interest,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data interest,cyber attack,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",healthcar data interest,healthcar data decentr,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data interest,healthcar data,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data interest,healthcar data interest,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data interest,cyber attack,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data interest,healthcar data decentr,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,healthcar data,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,data interest,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,healthcar data interest,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,healthcar data decentr,1,0.0,2017.0,,5bdd29df-0a62-4521-b72e-2c3a6f9bdb7e
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,data cloud,1,0.0,2019.0,,abbe38d4-9d16-4ec7-b230-e943a8776fd9
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,data cloud interest,1,0.0,2019.0,,abbe38d4-9d16-4ec7-b230-e943a8776fd9
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,citi data privaci,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,data privaci secur,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",cyber attack,citi data,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data cloud interest,data cloud,1,0.0,2019.0,,abbe38d4-9d16-4ec7-b230-e943a8776fd9
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data cloud interest,cyber attack,1,0.0,2019.0,,abbe38d4-9d16-4ec7-b230-e943a8776fd9
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",citi data,citi data privaci,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",citi data,data privaci secur,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",citi data,cyber attack,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,citi data privaci,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,citi data,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,cyber attack,1,0.0,2020.0,,741bdf0f-400d-4210-a17b-fd0f9e541107
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,sector safeti,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,sector safeti secur,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,transport energi,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,safeti secur,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,secur healthcar,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,healthcar transport energi,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,mainten sector safeti,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,safeti secur healthcar,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,mainten sector,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,secur healthcar transport,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,citi mainten sector,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
"Cryptography and Security(88.93%) | Distributed, Parallel, and Cluster Computing(77.39%) | Performance(69.53%)",data privaci secur,citi mainten,1,0.0,2021.0,,c8bc98a3-976d-40ce-9020-c371f8ca7099
