domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,paper analysi design,1,0.0,2014.0,,ccd219ce-04a6-4164-80fb-710ff5d378e9
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,electr gener,1,0.0,2015.0,,f65e0032-42d3-4044-9a70-e62de0bd36a1
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,energi convers,1,0.0,2017.0,,6d8f17f1-3bb0-4738-aa77-0d029b002364
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,pmlg wave energi,1,0.0,2017.0,,6d8f17f1-3bb0-4738-aa77-0d029b002364
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,wave energi convers,1,0.0,2017.0,,6d8f17f1-3bb0-4738-aa77-0d029b002364
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,wave energi,1,0.0,2017.0,,6d8f17f1-3bb0-4738-aa77-0d029b002364
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,gener pmlg,1,0.0,2017.0,,6d8f17f1-3bb0-4738-aa77-0d029b002364
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,gener pmlg wave,1,0.0,2017.0,,6d8f17f1-3bb0-4738-aa77-0d029b002364
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,pmlg wave,1,0.0,2017.0,,6d8f17f1-3bb0-4738-aa77-0d029b002364
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,energi sea wave,1,0.0,2018.0,,27c851c4-2ef3-4446-bb67-408784f834f3
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,power gener gener,1,0.0,2018.0,,27c851c4-2ef3-4446-bb67-408784f834f3
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,iron boron,1,0.0,2018.0,,27c851c4-2ef3-4446-bb67-408784f834f3
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,sea wave,1,0.0,2018.0,,27c851c4-2ef3-4446-bb67-408784f834f3
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,magnet gener wave,1,0.0,2018.0,,67ecb6b1-bc04-4562-afd8-5f4f50ba5e65
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,gener wave temperatur,1,0.0,2018.0,,67ecb6b1-bc04-4562-afd8-5f4f50ba5e65
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,translat stator,1,0.0,2018.0,,67ecb6b1-bc04-4562-afd8-5f4f50ba5e65
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,stator core,1,0.0,2018.0,,67ecb6b1-bc04-4562-afd8-5f4f50ba5e65
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,gener wave,1,0.0,2018.0,,67ecb6b1-bc04-4562-afd8-5f4f50ba5e65
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,degrad power gener,1,0.0,2018.0,,7b0da458-f097-4bca-87b4-60d26a674d90
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,convers system,1,0.0,2018.0,,7b0da458-f097-4bca-87b4-60d26a674d90
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,power gener,1,0.0,2018.0,,7b0da458-f097-4bca-87b4-60d26a674d90
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,degrad power,1,0.0,2018.0,,7b0da458-f097-4bca-87b4-60d26a674d90
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,energi convers system,1,0.0,2018.0,,7b0da458-f097-4bca-87b4-60d26a674d90
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,gener wave energi,1,0.0,2018.0,,7b0da458-f097-4bca-87b4-60d26a674d90
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,wave energi extract,1,0.0,2019.0,,17095e79-8c30-4861-84a4-7bbba131b6c8
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,neodymium iron,1,0.0,2019.0,,17095e79-8c30-4861-84a4-7bbba131b6c8
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,energi extract,1,0.0,2019.0,,17095e79-8c30-4861-84a4-7bbba131b6c8
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,energi paper,1,0.0,2021.0,,34d5fad4-ddaf-43b4-a96b-47b493685c6e
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),magnet gener,wave energi paper,1,0.0,2021.0,,34d5fad4-ddaf-43b4-a96b-47b493685c6e
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),paper analysi design,magnet gener,1,0.0,2014.0,,ccd219ce-04a6-4164-80fb-710ff5d378e9
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),paper analysi design,paper analysi,1,0.0,2015.0,,22cc9db9-c56b-408d-97d8-939d650a3a22
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),paper analysi design,standalon wave energi,1,0.0,2015.0,,22cc9db9-c56b-408d-97d8-939d650a3a22
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),paper analysi design,wave energi convers,1,0.0,2015.0,,22cc9db9-c56b-408d-97d8-939d650a3a22
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),paper analysi design,wave energi,1,0.0,2015.0,,22cc9db9-c56b-408d-97d8-939d650a3a22
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),paper analysi design,analysi design,1,0.0,2015.0,,22cc9db9-c56b-408d-97d8-939d650a3a22
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),electr gener,magnet gener,1,0.0,2015.0,,f65e0032-42d3-4044-9a70-e62de0bd36a1
Symbolic Computation(86.63%) | Cryptography and Security(69.71%) | Operating Systems(64.9%),electr gener,power gener wave,1,0.0,2016.0,,5f4e2c6e-1e48-42e0-9c00-a1c4750515e5
