domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),ob network denial,attack burst,1,0.0,2020.0,,a484fc7e-6e76-4602-aaff-dc7c4e65824c
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),ob network denial,header packet,1,0.0,2020.0,,a484fc7e-6e76-4602-aaff-dc7c4e65824c
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),ob network denial,burst header,1,0.0,2020.0,,a484fc7e-6e76-4602-aaff-dc7c4e65824c
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),ob network denial,burst ob network,1,0.0,2020.0,,a484fc7e-6e76-4602-aaff-dc7c4e65824c
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),ob network denial,attack burst ob,1,0.0,2020.0,,a484fc7e-6e76-4602-aaff-dc7c4e65824c
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),ob network denial,burst header packet,1,0.0,2020.0,,a484fc7e-6e76-4602-aaff-dc7c4e65824c
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),ob network denial,ob network,1,0.0,2020.0,,a484fc7e-6e76-4602-aaff-dc7c4e65824c
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),ob network denial,packet flood,1,0.0,2020.0,,a484fc7e-6e76-4602-aaff-dc7c4e65824c
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),commun technolog,inform share,1,0.0,2015.0,,09592e1a-4960-4382-b19c-efdae8fa5b26
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),commun technolog,cryptographi solut data,1,0.0,2015.0,,09592e1a-4960-4382-b19c-efdae8fa5b26
Digital Libraries(85.81%) | Cryptography and Security(80.33%) | Networking and Internet Architecture(78.76%),commun technolog,world inform,1,0.0,2015.0,,09592e1a-4960-4382-b19c-efdae8fa5b26
